x[I]	y[I]	u[I]
0	0	200
0.0275591	0	200
0.0551181	0	200
0.0826772	0	200
0.110236	0	200
0.137795	0	200
0.165354	0	200
0.192913	0	200
0.220472	0	200
0.248031	0	200
0.275591	0	200
0.30315	0	200
0.330709	0	200
0.358268	0	200
0.385827	0	200
0.413386	0	200
0.440945	0	200
0.468504	0	200
0.496063	0	200
0.523622	0	200
0.551181	0	200
0.57874	0	200
0.606299	0	200
0.633858	0	200
0.661417	0	200
0.688976	0	200
0.716535	0	200
0.744094	0	200
0.771654	0	200
0.799213	0	200
0.826772	0	200
0.854331	0	200
0.88189	0	200
0.909449	0	200
0.937008	0	200
0.964567	0	200
0.992126	0	200
1.01969	0	200
1.04724	0	200
1.0748	0	200
1.10236	0	200
1.12992	0	200
1.15748	0	200
1.18504	0	200
1.2126	0	200
1.24016	0	200
1.26772	0	200
1.29528	0	200
1.32283	0	200
1.35039	0	200
1.37795	0	200
1.40551	0	200
1.43307	0	200
1.46063	0	200
1.48819	0	200
1.51575	0	200
1.54331	0	200
1.57087	0	200
1.59843	0	200
1.62598	0	200
1.65354	0	200
1.6811	0	200
1.70866	0	200
1.73622	0	200
1.76378	0	200
1.79134	0	200
1.8189	0	200
1.84646	0	200
1.87402	0	200
1.90157	0	200
1.92913	0	200
1.95669	0	200
1.98425	0	200
2.01181	0	200
2.03937	0	200
2.06693	0	200
2.09449	0	200
2.12205	0	200
2.14961	0	200
2.17717	0	200
2.20472	0	200
2.23228	0	200
2.25984	0	200
2.2874	0	200
2.31496	0	200
2.34252	0	200
2.37008	0	200
2.39764	0	200
2.4252	0	200
2.45276	0	200
2.48031	0	200
2.50787	0	200
2.53543	0	200
2.56299	0	200
2.59055	0	200
2.61811	0	200
2.64567	0	200
2.67323	0	200
2.70079	0	200
2.72835	0	200
2.75591	0	200
2.78346	0	200
2.81102	0	200
2.83858	0	200
2.86614	0	200
2.8937	0	200
2.92126	0	200
2.94882	0	200
2.97638	0	200
3.00394	0	200
3.0315	0	200
3.05906	0	200
3.08661	0	200
3.11417	0	200
3.14173	0	200
3.16929	0	200
3.19685	0	200
3.22441	0	200
3.25197	0	200
3.27953	0	200
3.30709	0	200
3.33465	0	200
3.3622	0	200
3.38976	0	200
3.41732	0	200
3.44488	0	200
3.47244	0	200
3.5	0	200

0	0.0275591	200
0.0275591	0.0275591	0
0.0551181	0.0275591	0
0.0826772	0.0275591	0
0.110236	0.0275591	0
0.137795	0.0275591	0
0.165354	0.0275591	0
0.192913	0.0275591	0
0.220472	0.0275591	0
0.248031	0.0275591	0
0.275591	0.0275591	0
0.30315	0.0275591	0
0.330709	0.0275591	0
0.358268	0.0275591	0
0.385827	0.0275591	0
0.413386	0.0275591	0
0.440945	0.0275591	0
0.468504	0.0275591	0
0.496063	0.0275591	0
0.523622	0.0275591	0
0.551181	0.0275591	0
0.57874	0.0275591	0
0.606299	0.0275591	0
0.633858	0.0275591	0
0.661417	0.0275591	0
0.688976	0.0275591	0
0.716535	0.0275591	0
0.744094	0.0275591	0
0.771654	0.0275591	0
0.799213	0.0275591	0
0.826772	0.0275591	0
0.854331	0.0275591	0
0.88189	0.0275591	0
0.909449	0.0275591	0
0.937008	0.0275591	0
0.964567	0.0275591	0
0.992126	0.0275591	0
1.01969	0.0275591	0
1.04724	0.0275591	0
1.0748	0.0275591	0
1.10236	0.0275591	0
1.12992	0.0275591	0
1.15748	0.0275591	0
1.18504	0.0275591	0
1.2126	0.0275591	0
1.24016	0.0275591	0
1.26772	0.0275591	0
1.29528	0.0275591	0
1.32283	0.0275591	0
1.35039	0.0275591	0
1.37795	0.0275591	0
1.40551	0.0275591	0
1.43307	0.0275591	0
1.46063	0.0275591	0
1.48819	0.0275591	0
1.51575	0.0275591	0
1.54331	0.0275591	0
1.57087	0.0275591	0
1.59843	0.0275591	0
1.62598	0.0275591	0
1.65354	0.0275591	0
1.6811	0.0275591	0
1.70866	0.0275591	0
1.73622	0.0275591	0
1.76378	0.0275591	0
1.79134	0.0275591	0
1.8189	0.0275591	0
1.84646	0.0275591	0
1.87402	0.0275591	0
1.90157	0.0275591	0
1.92913	0.0275591	0
1.95669	0.0275591	0
1.98425	0.0275591	0
2.01181	0.0275591	0
2.03937	0.0275591	0
2.06693	0.0275591	0
2.09449	0.0275591	0
2.12205	0.0275591	0
2.14961	0.0275591	0
2.17717	0.0275591	0
2.20472	0.0275591	0
2.23228	0.0275591	0
2.25984	0.0275591	0
2.2874	0.0275591	0
2.31496	0.0275591	0
2.34252	0.0275591	0
2.37008	0.0275591	0
2.39764	0.0275591	0
2.4252	0.0275591	0
2.45276	0.0275591	0
2.48031	0.0275591	0
2.50787	0.0275591	0
2.53543	0.0275591	0
2.56299	0.0275591	0
2.59055	0.0275591	0
2.61811	0.0275591	0
2.64567	0.0275591	0
2.67323	0.0275591	0
2.70079	0.0275591	0
2.72835	0.0275591	0
2.75591	0.0275591	0
2.78346	0.0275591	0
2.81102	0.0275591	0
2.83858	0.0275591	0
2.86614	0.0275591	0
2.8937	0.0275591	0
2.92126	0.0275591	0
2.94882	0.0275591	0
2.97638	0.0275591	0
3.00394	0.0275591	0
3.0315	0.0275591	0
3.05906	0.0275591	0
3.08661	0.0275591	0
3.11417	0.0275591	0
3.14173	0.0275591	0
3.16929	0.0275591	0
3.19685	0.0275591	0
3.22441	0.0275591	0
3.25197	0.0275591	0
3.27953	0.0275591	0
3.30709	0.0275591	0
3.33465	0.0275591	0
3.3622	0.0275591	0
3.38976	0.0275591	0
3.41732	0.0275591	0
3.44488	0.0275591	0
3.47244	0.0275591	0
3.5	0.0275591	0

0	0.0551181	200
0.0275591	0.0551181	0
0.0551181	0.0551181	0
0.0826772	0.0551181	0
0.110236	0.0551181	0
0.137795	0.0551181	0
0.165354	0.0551181	0
0.192913	0.0551181	0
0.220472	0.0551181	0
0.248031	0.0551181	0
0.275591	0.0551181	0
0.30315	0.0551181	0
0.330709	0.0551181	0
0.358268	0.0551181	0
0.385827	0.0551181	0
0.413386	0.0551181	0
0.440945	0.0551181	0
0.468504	0.0551181	0
0.496063	0.0551181	0
0.523622	0.0551181	0
0.551181	0.0551181	0
0.57874	0.0551181	0
0.606299	0.0551181	0
0.633858	0.0551181	0
0.661417	0.0551181	0
0.688976	0.0551181	0
0.716535	0.0551181	0
0.744094	0.0551181	0
0.771654	0.0551181	0
0.799213	0.0551181	0
0.826772	0.0551181	0
0.854331	0.0551181	0
0.88189	0.0551181	0
0.909449	0.0551181	0
0.937008	0.0551181	0
0.964567	0.0551181	0
0.992126	0.0551181	0
1.01969	0.0551181	0
1.04724	0.0551181	0
1.0748	0.0551181	0
1.10236	0.0551181	0
1.12992	0.0551181	0
1.15748	0.0551181	0
1.18504	0.0551181	0
1.2126	0.0551181	0
1.24016	0.0551181	0
1.26772	0.0551181	0
1.29528	0.0551181	0
1.32283	0.0551181	0
1.35039	0.0551181	0
1.37795	0.0551181	0
1.40551	0.0551181	0
1.43307	0.0551181	0
1.46063	0.0551181	0
1.48819	0.0551181	0
1.51575	0.0551181	0
1.54331	0.0551181	0
1.57087	0.0551181	0
1.59843	0.0551181	0
1.62598	0.0551181	0
1.65354	0.0551181	0
1.6811	0.0551181	0
1.70866	0.0551181	0
1.73622	0.0551181	0
1.76378	0.0551181	0
1.79134	0.0551181	0
1.8189	0.0551181	0
1.84646	0.0551181	0
1.87402	0.0551181	0
1.90157	0.0551181	0
1.92913	0.0551181	0
1.95669	0.0551181	0
1.98425	0.0551181	0
2.01181	0.0551181	0
2.03937	0.0551181	0
2.06693	0.0551181	0
2.09449	0.0551181	0
2.12205	0.0551181	0
2.14961	0.0551181	0
2.17717	0.0551181	0
2.20472	0.0551181	0
2.23228	0.0551181	0
2.25984	0.0551181	0
2.2874	0.0551181	0
2.31496	0.0551181	0
2.34252	0.0551181	0
2.37008	0.0551181	0
2.39764	0.0551181	0
2.4252	0.0551181	0
2.45276	0.0551181	0
2.48031	0.0551181	0
2.50787	0.0551181	0
2.53543	0.0551181	0
2.56299	0.0551181	0
2.59055	0.0551181	0
2.61811	0.0551181	0
2.64567	0.0551181	0
2.67323	0.0551181	0
2.70079	0.0551181	0
2.72835	0.0551181	0
2.75591	0.0551181	0
2.78346	0.0551181	0
2.81102	0.0551181	0
2.83858	0.0551181	0
2.86614	0.0551181	0
2.8937	0.0551181	0
2.92126	0.0551181	0
2.94882	0.0551181	0
2.97638	0.0551181	0
3.00394	0.0551181	0
3.0315	0.0551181	0
3.05906	0.0551181	0
3.08661	0.0551181	0
3.11417	0.0551181	0
3.14173	0.0551181	0
3.16929	0.0551181	0
3.19685	0.0551181	0
3.22441	0.0551181	0
3.25197	0.0551181	0
3.27953	0.0551181	0
3.30709	0.0551181	0
3.33465	0.0551181	0
3.3622	0.0551181	0
3.38976	0.0551181	0
3.41732	0.0551181	0
3.44488	0.0551181	0
3.47244	0.0551181	0
3.5	0.0551181	0

